ID,HIST1H4I,HIST1H4E,HIST1H4J,HIST1H4H,HIST1H4C,HIST2H4B,HIST1H4F,HIST1H4K,HIST1H2BJ,HIST1H2BB,lable
GSM6149942_PN0406_20070719_U133Plus2.CEL.gz,4.775413604,4.775413604,4.775413604,4.775413604,4.775413604,4.775413604,4.775413604,4.775413604,6.163187817,5.042299418,1
GSM6149943_PN0409_20070720_U133Plus2.CEL.gz,5.014122784,5.014122784,5.014122784,5.014122784,5.014122784,5.014122784,5.014122784,5.014122784,6.44981217,5.082790816,1
GSM6149944_PN0416_20070720_U133Plus2.CEL.gz,5.146647192,5.146647192,5.146647192,5.146647192,5.146647192,5.146647192,5.146647192,5.146647192,6.641419694,5.066579507,1
GSM6149945_PN0418_20070720_U133Plus2.CEL.gz,4.803860116,4.803860116,4.803860116,4.803860116,4.803860116,4.803860116,4.803860116,4.803860116,5.83296353,5.002206132,1
GSM6149946_PN0428_20070720_U133Plus2.CEL.gz,4.629124702,4.629124702,4.629124702,4.629124702,4.629124702,4.629124702,4.629124702,4.629124702,6.660992369,4.976019573,1
GSM6149947_PN0443_20070719_U133Plus2.CEL.gz,4.723894055,4.723894055,4.723894055,4.723894055,4.723894055,4.723894055,4.723894055,4.723894055,6.017060199,4.910219131,1
GSM6150855_IO061p_20040817_U133plus2.CEL.gz,5.05663899,5.05663899,5.05663899,5.05663899,5.05663899,5.05663899,5.05663899,5.05663899,7.075671727,5.305828744,0
GSM6150858_IO070_20041020_U133plus2.CEL.gz,5.255090442,5.255090442,5.255090442,5.255090442,5.255090442,5.255090442,5.255090442,5.255090442,7.821566229,6.07026077,0
GSM6150860_IO072_20041020_U133plus2.CEL.gz,5.314733953,5.314733953,5.314733953,5.314733953,5.314733953,5.314733953,5.314733953,5.314733953,6.96616624,5.86699373,0
GSM6150862_IO074_20041020_U133plus2.CEL.gz,4.956539608,4.956539608,4.956539608,4.956539608,4.956539608,4.956539608,4.956539608,4.956539608,7.85323354,6.035439426,0
GSM6150863_IO075_20041021_U133plus2.CEL.gz,5.323395025,5.323395025,5.323395025,5.323395025,5.323395025,5.323395025,5.323395025,5.323395025,7.663421961,5.541666238,0
GSM6150864_IO076_20041021_U133plus2.CEL.gz,5.137534687,5.137534687,5.137534687,5.137534687,5.137534687,5.137534687,5.137534687,5.137534687,7.292575295,5.536683239,0
GSM6150865_IO077_20041021_U133plus2.CEL.gz,5.219650399,5.219650399,5.219650399,5.219650399,5.219650399,5.219650399,5.219650399,5.219650399,5.576008657,5.328620819,0
GSM6150868_PN0225_20070719_U133Plus2.CEL.gz,5.009568685,5.009568685,5.009568685,5.009568685,5.009568685,5.009568685,5.009568685,5.009568685,5.765675389,4.991428493,0
GSM6150869_BT0002_20051014_U133Plus2.CEL.gz,5.201974289,5.201974289,5.201974289,5.201974289,5.201974289,5.201974289,5.201974289,5.201974289,6.055288456,5.123615446,0
GSM6150878_CD0225_20080527_U133Plus2.CEL.gz,5.87290652,5.87290652,5.87290652,5.87290652,5.87290652,5.87290652,5.87290652,5.87290652,8.746460348,5.228803861,0
GSM6150880_CD0286_20070207_U133Plus2.CEL.gz,5.597257321,5.597257321,5.597257321,5.597257321,5.597257321,5.597257321,5.597257321,5.597257321,7.797761795,5.204619349,0
GSM6150882_CD0341_20070207_U133Plus2.CEL.gz,5.616546168,5.616546168,5.616546168,5.616546168,5.616546168,5.616546168,5.616546168,5.616546168,8.656611008,5.144845738,0
GSM6150884_CD0460_20080521_U133Plus2.CEL.gz,5.980816555,5.980816555,5.980816555,5.980816555,5.980816555,5.980816555,5.980816555,5.980816555,9.048520275,5.552045316,0
